Date,Country,Infected_Population_Percentages,Vaccinated_Percentage,Deaths_Infected_Percentage
2021-09-12,Romania,5.8595637798275719,51.612325784728085,3.1218660889861209
2021-09-13,Romania,5.8692303525993514,51.654181156069825,3.1208218389831943
2021-09-14,Romania,5.8897711662393295,51.7086360084175,3.1184591978213749
2021-09-15,Romania,5.9107040799106132,51.763582292804408,3.1147564183529606
2021-09-16,Romania,5.9339216297643027,51.82199474146806,3.10882472399335
2021-09-17,Romania,5.9573326156334359,51.892008123057934,3.1030140280209388
2021-09-18,Romania,5.9855010818824068,51.945297131312515,3.0968832895301133
2021-09-19,Romania,6.0054563594756356,51.969440037240091,3.0916419287722747
2021-09-20,Romania,6.0229283368705984,52.046448483388453,3.0894438792693388
2021-09-21,Romania,6.0584212317043518,52.128454897935839,3.0824763707877096
2021-09-22,Romania,6.0952524946449591,52.216839472992461,3.0750004717442359
2021-09-23,Romania,6.1323451576064372,52.312966716667262,3.0660343176914204
2021-09-24,Romania,6.1695476085766812,52.417448305009074,3.0598332170999503
2021-09-25,Romania,6.2096777397806706,52.504839559986394,3.0502461328890282
2021-09-26,Romania,6.2427866664240872,52.562504404590349,3.0433646594188457
2021-09-27,Romania,6.2723510087845042,52.6560647000602,3.0381050892636119
2021-09-28,Romania,6.3301151853963971,52.87902846186163,3.0275600630982566
2021-09-29,Romania,6.386713517915207,53.198537707371251,3.0176746592274624
2021-09-30,Romania,6.4496168189374066,53.5217797451789,3.0025095892898248
2021-10-01,Romania,6.5065340594816794,53.845398199016593,2.989823671914861
2021-10-02,Romania,6.57235458473679,54.084223714084423,2.9745176570721754
2021-10-03,Romania,6.6177440843606883,54.084223714084423,2.9659661233328092
2021-10-04,Romania,6.6610946638217978,54.5191933488124,2.957102123114089
2021-10-05,Romania,6.7397081060982948,54.835330534052794,2.9421575045999089
2021-10-06,Romania,6.8167897442524943,55.128077645425719,2.9342741007745992
2021-10-07,Romania,6.8924232262910712,55.456955467683322,2.9234651656177681
2021-10-08,Romania,6.9648519440737786,55.809401115822588,2.9219626473385425
2021-10-09,Romania,7.03814328192536,56.085272241848138,2.9124821725695269
2021-10-10,Romania,7.0925144862663565,56.270432332631316,2.9057082203089988
2021-10-11,Romania,7.140340234084765,56.539925298147629,2.9015484101485733
2021-10-12,Romania,7.2278726450733526,56.539925298147629,2.8983798554969109
2021-10-13,Romania,7.3101247756403618,57.160201407670485,2.8936595664338065
2021-10-14,Romania,7.3957751064786841,57.160201407670485,2.8816376099479237
2021-10-15,Romania,7.4785238970853483,57.898123210586164,2.8752687044513188
2021-10-16,Romania,7.5581933954461613,58.20904285140999,2.8693088674523453
2021-10-17,Romania,7.6185558882655018,58.426292408755188,2.8670930376185444
2021-10-18,Romania,7.6715730404983917,58.750203630616262,2.8650655137893457
2021-10-19,Romania,7.7701888123718756,59.109022211264332,2.8673237056135386
2021-10-20,Romania,7.8598908435336847,59.524501860436231,2.862735812034146
2021-10-21,Romania,7.944113930258057,60.044023945914873,2.8618679961988294
2021-10-22,Romania,8.0246774166902437,60.712319239271572,2.8563945738666345
2021-10-23,Romania,8.104461931060241,61.378188740434595,2.8570451740836522
2021-10-24,Romania,8.1657602359542967,61.956410814599835,2.8605031730015726
2021-10-25,Romania,8.2137898757889829,62.623346827848017,2.8629349220139835
2021-10-26,Romania,8.3014373027867538,63.41195932281083,2.8656447590498022
2021-10-27,Romania,8.3795959090269374,64.20119394982332,2.8708596669640571
2021-10-28,Romania,8.4485898305354112,64.861532226544739,2.8730955609033759
2021-10-29,Romania,8.5138039077421048,65.487428436516282,2.8806245743785235
2021-10-30,Romania,8.5770940807951916,65.955365841876414,2.8845421237383482
2021-10-31,Romania,8.6159067558939952,66.2965242371145,2.8974576327751116
2021-11-01,Romania,8.6524661628128978,66.715036126528489,2.9046708688212375
2021-11-02,Romania,8.710355811434809,67.1251727592738,2.920838342545482
2021-11-03,Romania,8.7636605036906534,67.5560331856737,2.9299770386203368
2021-11-04,Romania,8.8105608954351826,67.987975808159987,2.9433964055483295
2021-11-05,Romania,8.8537860028862738,68.458067149692084,2.957546713023433
2021-11-06,Romania,8.8959080022492945,68.830975191465058,2.9667563671368349
2021-11-07,Romania,8.9235798084586122,69.1275387431427,2.9735506027950378
2021-11-08,Romania,8.9458249502346643,69.492625696291228,2.9802406236321231
